timestamp,表面温度_x,高频加速度RMS_x,高频加速度峭度_x,速度RMS_x,表面温度_y,高频加速度RMS_y,高频加速度峭度_y,速度RMS_y,表面温度,高频加速度RMS,高频加速度峭度,速度RMS
2022/9/1 17:42,50,2.25092,2.930252,0.9768231,31,0.07228796,3.063869,0.1767545,50,1.26646,2.861521,0.2413106
2022/9/1 17:47,50,2.117275,2.827315,1.008609,31,0.06719007,2.787249,0.2162148,51,1.152523,3.157713,0.2492221
2022/9/1 17:52,50,2.181879,2.709023,1.004995,32,0.06264875,2.757293,0.1615558,52,1.371104,2.963745,0.2706136
2022/9/1 17:57,49,2.233851,2.934459,1.135198,32,0.05727537,2.481187,0.1843376,53,1.216488,2.837203,0.2400055
2022/9/1 18:02,49,2.116302,2.861553,1.059685,32,0.06717268,2.770349,0.2652351,53,1.25772,2.959757,0.214798
2022/9/1 18:12,49,2.174312,3.13636,0.9127883,32,0.06284019,2.638831,0.2033834,52,1.249217,2.808076,0.2181218
2022/9/1 18:17,49,2.201232,2.793463,1.122996,32,0.06399044,2.444155,0.1452159,52,1.229253,2.999671,0.2893289
2022/9/1 18:22,48,2.384225,2.793459,1.041727,32,0.06464785,2.592462,0.1940219,52,1.271244,2.952475,0.2490521
2022/9/1 18:27,48,2.214684,2.803174,1.148254,32,0.06710958,2.631975,0.2465147,52,1.307894,2.951123,0.2001617
2022/9/1 18:32,48,2.320945,2.976849,1.085102,32,0.06857036,2.425143,0.1769699,51,1.316977,3.01877,0.3933862
2022/9/1 18:37,48,2.344469,2.819118,1.137467,32,0.06413722,2.392591,0.1212018,51,1.376071,2.864136,0.2352867
2022/9/1 18:42,48,2.199172,2.874474,0.9945558,32,0.06916768,2.614632,0.1786609,53,1.255267,3.15484,0.2356726
2022/9/1 18:47,48,2.269987,3.174115,1.077648,32,0.06599958,2.937585,0.1791661,53,1.519017,2.831588,0.7592436
2022/9/1 18:52,48,2.322587,3.156833,1.028089,32,0.07069954,2.54648,0.2080182,52,1.466472,2.625598,0.5777745
2022/9/1 18:57,47,2.199386,2.784929,1.197425,31,0.0687362,2.461685,0.1582172,51,1.281382,2.834941,0.2279828
2022/9/1 19:02,47,2.460024,3.034508,1.098744,31,0.06997522,2.496855,0.2074454,48,1.182992,2.795519,0.2552768
2022/9/1 19:07,47,2.333968,2.934258,1.04248,31,0.06323052,2.708572,0.1457345,49,1.384125,3.070508,0.2724102
2022/9/1 19:12,47,2.386926,2.906978,0.9988974,31,0.07657948,2.809255,0.1221304,49,1.287788,3.133467,0.2796035
2022/9/1 19:17,47,2.243385,2.998853,0.9786467,31,0.06489312,2.504261,0.1613708,49,1.340423,3.192414,0.2485896
2022/9/1 19:22,47,2.254112,2.851177,1.04603,31,0.05961199,2.455475,0.1441638,48,1.292142,2.95436,0.1934845
2022/9/1 19:27,47,2.442472,3.192888,0.9864154,31,0.06843948,2.606657,0.1780573,46,1.337328,2.916528,0.2397289
2022/9/1 19:32,47,2.349195,2.84935,1.085035,31,0.07042855,2.674314,0.1703207,47,1.383244,2.973361,0.5454705
2022/9/1 19:37,47,2.42754,3.055792,1.033552,31,0.07512646,2.615752,0.1899628,46,1.351409,3.032146,0.2301137
2022/9/1 19:42,47,2.310839,2.988008,0.9771878,31,0.06579874,2.525125,0.1575052,48,1.261413,3.104403,0.2285313
2022/9/1 19:47,47,2.319127,2.999879,1.060099,31,0.06423337,2.605032,0.2025297,50,1.361951,2.994867,0.2446809
2022/9/1 19:52,48,2.415055,2.978419,1.091709,31,0.06405698,2.630264,0.1527421,52,1.319349,2.849948,0.2139958
2022/9/1 19:57,48,2.447555,2.903173,1.057549,32,0.06797581,2.630291,0.1840648,53,1.324624,2.941949,0.2095871
2022/9/1 20:02,48,2.102962,3.356842,1.015153,32,0.06789943,2.7283,0.19192,53,1.291047,3.056716,0.230021
2022/9/1 20:12,47,2.290141,3.032612,1.103477,32,0.07306527,2.795092,0.1650287,53,1.344096,2.686682,0.2164731
2022/9/1 20:17,47,2.414965,2.980321,1.017612,32,0.06375697,2.503335,0.1982092,54,1.156162,2.973639,0.2762678
