timestamp,表面温度,高频加速度RMS,高频加速度峭度,高频加速度有效值,速度有效值,速度RMS
2022-09-02 00:37:10,28.0,0.06948654,2.37658,,,0.1473352
2022-09-02 00:42:10,28.0,0.06904173,2.285136,,,0.1388306
2022-09-02 00:47:10,28.0,0.07326582,2.655511,,,0.1254824
2022-09-02 00:52:10,28.0,0.06416462,2.363485,,,0.1726104
2022-09-02 00:57:10,28.0,0.06938583,2.5899,,,0.2221713
2022-09-02 01:02:10,28.0,0.06456782,2.548831,,,0.1586778
2022-09-02 01:07:10,28.0,0.07124526,2.739322,,,0.1778442
2022-09-02 01:12:10,28.0,0.06500764,2.370689,,,0.164312
2022-09-02 01:17:10,28.0,0.06252947,2.313445,,,0.1560233
2022-09-02 01:22:10,28.0,0.07839914,2.387784,,,0.1488081
2022-09-02 01:27:10,28.0,0.06317579,2.424632,,,0.215727
2022-09-02 01:32:10,28.0,0.06985249,2.532123,,,0.1791493
2022-09-02 01:37:10,28.0,0.07136096,2.476683,,,0.1908529
2022-09-02 01:42:10,28.0,0.06324357,2.452395,,,0.15486
2022-09-02 01:47:10,28.0,0.07350815,2.497212,,,0.2134626
2022-09-02 01:52:10,28.0,0.07956173,2.540088,,,0.2357139
2022-09-02 01:57:10,28.0,0.08025435,2.580489,,,0.1810252
2022-09-02 02:02:10,28.0,0.08013244,2.579947,,,0.2250101
2022-09-02 02:07:10,28.0,0.08407854,2.565513,,,0.2600297
2022-09-02 02:12:10,28.0,0.07202905,2.50551,,,0.2353712
2022-09-02 02:17:10,28.0,0.07460909,2.694197,,,0.2111276
2022-09-02 02:22:10,28.0,0.07977513,2.700523,,,0.1719991
2022-09-02 02:27:10,28.0,0.06205148,2.499104,,,0.286649
2022-09-02 02:32:10,28.0,0.06702433,2.615397,,,0.2006217
2022-09-02 02:37:10,28.0,0.07151024,2.578001,,,0.1848755
2022-09-02 02:42:10,28.0,0.07507379,2.624262,,,0.194244
2022-09-02 02:47:10,28.0,0.06386615,2.433995,,,0.1763016
2022-09-02 02:52:10,28.0,0.06317737,2.370676,,,0.1645772
2022-09-02 02:57:10,27.0,0.06727359,2.417341,,,0.1274674
2022-09-02 03:02:10,27.0,0.06757841,2.527694,,,0.1863811
2022-09-02 03:07:10,28.0,0.08237454,2.395085,,,0.1656064
2022-09-02 03:12:10,28.0,0.06619468,2.427604,,,0.1650587
2022-09-02 03:17:10,27.0,0.07105239,2.524523,,,0.1681893
2022-09-02 03:22:10,27.0,0.06473877,2.405759,,,0.1661959
2022-09-02 03:27:10,27.0,0.06803933,2.536912,,,0.2232116
2022-09-02 03:32:10,27.0,0.06538931,2.426744,,,0.1997477
