timestamp,表面温度_x,高频加速度RMS_x,高频加速度峭度_x,速度RMS_x
2022/9/11 23:17,31,0.06167974,2.784478,0.3120968
2022/9/11 23:22,31,0.08021159,2.74893,0.3284519
2022/9/11 23:27,31,0.08866958,3.081216,0.2528581
2022/9/11 23:32,31,0.08209707,2.871499,0.2485699
2022/9/11 23:37,31,0.1066335,3.614481,0.3608895
2022/9/11 23:42,31,0.08474626,2.611146,0.3565816
2022/9/11 23:47,31,0.06032601,2.643898,0.3245798
2022/9/11 23:52,31,0.1248862,3.210608,0.2225933
2022/9/11 23:57,31,0.116892,1.995383,0.3212135
2022/9/12 0:02,31,0.1097418,2.491978,0.2995405
2022/9/12 0:07,31,0.1102374,2.966275,0.3425509
2022/9/12 0:12,30,0.1272633,2.222315,0.3263331
2022/9/12 0:17,30,0.0705023,3.963552,0.2548618
2022/9/12 0:22,30,0.0705587,3.028595,0.2909331
2022/9/12 0:27,30,0.1016029,2.579886,0.3358555
2022/9/12 0:32,30,0.0589965,2.790322,0.2353503
2022/9/12 0:37,30,0.08568838,2.576362,0.3745095
2022/9/12 0:42,30,0.1203316,2.886548,0.2798792
2022/9/12 0:47,30,0.1072212,2.390134,0.3100161
2022/9/12 0:52,30,0.07725076,2.700214,0.2389152
2022/9/12 0:57,30,0.07170842,3.345196,0.2554898
2022/9/12 1:02,30,0.09657566,2.636462,0.3297865
2022/9/12 1:07,30,0.06651022,2.788973,0.3175145
2022/9/12 1:12,30,0.08582793,3.107905,0.2638766
2022/9/12 1:17,30,0.1245739,2.389823,0.3351462
2022/9/12 1:22,30,0.08871712,2.716881,0.2978327
2022/9/12 1:27,30,0.1730369,2.165842,0.3531536
2022/9/12 1:32,30,0.05294322,2.908557,0.2581286
2022/9/12 1:37,30,0.09445192,2.234421,0.298603
2022/9/12 1:42,30,0.1157012,2.439862,0.2380885
2022/9/12 1:47,30,0.09211446,2.647524,0.3446194
2022/9/12 1:52,30,0.1206086,2.62659,0.2309889
2022/9/12 1:57,30,0.09423686,2.689146,0.3090825
2022/9/12 2:02,30,0.1287043,2.58007,0.29098
2022/9/12 2:07,30,0.1268046,2.226917,0.3627775
2022/9/12 2:12,30,0.1185349,2.964252,0.2886362
2022/9/12 2:17,30,0.07416622,2.661751,0.3176805
2022/9/12 2:22,30,0.08282007,2.738558,0.3658499
2022/9/12 2:27,30,0.09073022,2.781597,0.3047481
2022/9/12 2:32,30,0.2444422,1.931513,0.327102
2022/9/12 2:37,30,0.1035338,2.082085,0.2252521
2022/9/12 2:42,30,0.1128065,2.505773,0.2496334
2022/9/12 2:47,30,0.07313435,2.630739,0.2348278
2022/9/12 2:52,30,0.1153707,2.456982,0.2647478
2022/9/12 2:57,30,0.03635754,2.753525,0.07072271
2022/9/12 3:02,29,0.1249968,2.204924,0.2670795
2022/9/12 3:07,29,0.1177715,2.399031,0.2768011
2022/9/12 3:12,29,0.1029071,2.95008,0.2357534
2022/9/12 3:17,29,0.0722442,2.998736,0.286123
2022/9/12 3:22,29,0.0851138,3.388714,0.3197921
2022/9/12 3:27,29,0.08762135,2.987221,0.2250555
2022/9/12 3:32,29,0.03933094,2.821246,0.08921476
2022/9/12 3:37,29,0.05001234,2.731939,0.3045424
2022/9/12 3:42,29,0.04640978,2.937448,0.2155866
2022/9/12 3:47,29,0.06103691,2.954944,0.191948
2022/9/12 3:52,28,0.07517011,2.395765,0.3204213
2022/9/12 3:57,28,0.05678104,2.768229,0.2597192
2022/9/12 4:02,28,0.05866832,3.14505,0.2358484
2022/9/12 4:07,28,0.05350239,2.763307,0.221778
2022/9/12 4:12,28,0.1102867,2.485787,0.2254919
2022/9/12 4:17,28,0.05162725,2.862612,0.2294974
2022/9/12 4:22,28,0.1202498,2.10485,0.2993248
2022/9/12 4:27,28,0.07644825,2.321738,0.2788003
2022/9/12 4:32,28,0.1180796,2.077592,0.2521005
2022/9/12 4:37,28,0.1343871,3.03353,0.204801
2022/9/12 4:42,28,0.06727836,2.785507,0.2612423
2022/9/12 4:47,28,0.1304173,2.57135,0.3199216
2022/9/12 4:52,28,0.06931555,2.848246,0.294475
2022/9/12 4:57,28,0.1071744,2.631339,0.2340342
2022/9/12 5:02,28,0.06999958,2.768443,0.2278198
2022/9/12 5:07,28,0.09145739,2.512363,0.377552
2022/9/12 5:12,28,0.1401756,2.221825,0.2226255
2022/9/12 5:17,28,0.07342752,3.366548,0.26084
2022/9/12 5:22,28,0.1045679,2.462638,0.2782704
2022/9/12 5:27,28,0.09707771,2.650663,0.2538579
2022/9/12 5:32,28,0.1268112,1.967441,0.3051868
2022/9/12 5:37,28,0.08064241,2.543488,0.1970926
2022/9/12 5:42,28,0.1202909,2.589051,0.2511096
2022/9/12 5:47,28,0.09500594,2.84008,0.248827
2022/9/12 5:52,28,0.1022449,2.065857,0.2859202
2022/9/12 5:57,28,0.07268961,2.723864,0.2144169
2022/9/12 6:02,28,0.0569738,3.12046,0.3054022
2022/9/12 6:07,27,0.05112426,2.782246,0.3328002
2022/9/12 6:12,28,0.07498565,2.956243,0.2681887
2022/9/12 6:17,27,0.1325886,2.185558,0.2752571
2022/9/12 6:22,27,0.137253,1.942003,0.2459519
2022/9/12 6:27,27,0.1213505,2.28039,0.2855411
2022/9/12 6:32,27,0.0821218,2.662099,0.2901233
2022/9/12 6:37,27,0.1243929,2.331788,0.2679923
2022/9/12 6:42,27,0.1028175,2.467885,0.253345
2022/9/12 6:47,27,0.06712918,2.570329,0.220927
2022/9/12 6:52,27,0.06699405,2.970506,0.2434132
2022/9/12 6:57,27,0.07885054,2.873993,0.2927873
2022/9/12 7:02,27,0.06028227,2.963394,0.2464728
2022/9/12 7:07,27,0.07375856,2.594453,0.2491655
2022/9/12 7:12,27,0.06296931,3.007895,0.2833329
2022/9/12 7:17,27,0.1086328,2.31508,0.3094
2022/9/12 7:22,27,0.1005438,4.061291,0.2290556
2022/9/12 7:27,27,0.1049763,2.776316,0.3344352
2022/9/12 7:32,27,0.09731434,3.389513,0.2476726
2022/9/12 7:37,27,0.1000508,2.544069,0.2779968
2022/9/12 7:42,27,0.1055315,2.175358,0.2411252
2022/9/12 7:47,27,0.1407005,1.991132,0.2996727
2022/9/12 7:52,27,0.0563356,3.172862,0.2812857
2022/9/12 7:57,27,0.07696875,2.574003,0.2507902
2022/9/12 8:02,27,0.120334,2.603249,0.3128189
2022/9/12 8:07,27,0.0875773,2.405589,0.2613901
2022/9/12 8:12,27,0.1090118,2.759471,0.2773697
2022/9/12 8:17,27,0.08975591,2.346953,0.2735448
2022/9/12 8:22,28,0.09283775,2.522827,0.2613012
2022/9/12 8:27,28,0.07586338,2.59073,0.2513105
2022/9/12 8:32,28,0.1288177,2.54625,0.2716219
2022/9/12 8:37,28,0.07487548,2.558565,0.3085243
2022/9/12 8:42,28,0.1178039,2.780508,0.3223632
2022/9/12 8:47,28,0.1473327,2.461979,0.252366
2022/9/12 8:52,28,0.09314242,3.447452,0.2853796
2022/9/12 8:57,28,0.0851992,2.875166,0.313171
2022/9/12 9:02,28,0.06184072,2.634079,0.2277875
2022/9/12 9:07,28,0.07650452,2.685052,0.3209911
2022/9/12 9:12,28,0.0998276,2.529113,0.30707
2022/9/12 9:17,28,0.07827841,2.769779,0.3140965
2022/9/12 9:22,28,0.07929222,2.946578,0.3268191
2022/9/12 9:27,28,0.1215008,1.958069,0.290669
2022/9/12 9:32,28,0.09961701,2.405122,0.2732388
2022/9/12 9:37,29,0.09641601,2.669265,0.2577981
2022/9/12 9:42,29,0.08805992,2.482869,0.1931338
2022/9/12 9:47,29,0.09366005,2.51264,0.3170939
2022/9/12 9:52,29,0.1064652,2.754622,0.2656655
2022/9/12 9:57,29,0.06662,3.138132,0.2601821
2022/9/12 10:02,29,0.06949435,2.825012,0.2999429
2022/9/12 10:07,29,0.09316363,2.588998,0.2237172
2022/9/12 10:12,29,0.08168899,2.778359,0.2346969
2022/9/12 10:17,29,0.07102463,2.773575,0.3427323
2022/9/12 10:22,29,0.07368058,2.496247,0.3030567
2022/9/12 10:27,30,0.08532857,2.616348,0.3591186
2022/9/12 10:32,30,0.05683807,3.06666,0.2429094
2022/9/12 10:37,30,0.06524509,2.630225,0.2988202
2022/9/12 10:42,30,0.08836364,2.871169,0.2762239
2022/9/12 10:47,30,0.07694275,2.863354,0.2490377
2022/9/12 10:52,30,0.1051436,2.462236,0.2665327
2022/9/12 10:57,30,0.06450311,2.690278,0.2460061
2022/9/12 11:02,30,0.06670829,3.2303,0.2429904
2022/9/12 11:07,30,0.07883807,2.819062,0.2743018
2022/9/12 11:12,30,0.1114205,3.263022,0.254621
2022/9/12 11:17,30,0.1143767,2.329645,0.2152085
2022/9/12 11:22,30,0.06533698,3.015038,0.2528112
2022/9/12 11:27,30,0.1148945,2.596124,0.2474156
2022/9/12 11:32,31,1.840276,2.999777,0.9973828
2022/9/12 11:37,33,1.855103,3.275117,1.003902
2022/9/12 11:42,35,1.818388,2.721698,0.9346352
2022/9/12 11:47,37,2.059407,2.822371,1.103219
2022/9/12 11:52,38,2.088753,2.924121,1.128425
2022/9/12 11:57,39,2.061303,2.794425,0.9926589
2022/9/12 12:02,39,2.023099,2.799113,0.8089962
2022/9/12 12:07,40,1.964868,2.773304,1.084201
2022/9/12 12:12,41,1.987178,2.90997,0.92281
2022/9/12 12:17,41,1.660811,3.022244,1.181409
2022/9/12 12:22,43,0.09934456,2.743103,0.2239181
2022/9/12 12:27,44,0.1211745,2.59581,0.2867599
2022/9/12 12:32,44,0.1627741,2.958281,0.2322135
2022/9/12 12:37,44,0.1138253,2.32152,0.2365473
2022/9/12 12:42,44,0.07963904,2.832656,0.264796
2022/9/12 12:47,44,0.04771215,2.463427,0.3046001
2022/9/12 12:52,44,0.08442219,3.066147,0.250305
2022/9/12 12:57,44,0.08010419,2.574072,0.1994389
2022/9/12 13:02,44,0.07189097,3.674472,0.4817685
2022/9/12 13:07,44,0.1281766,2.587871,0.3184364
2022/9/12 13:12,44,0.1113325,2.522534,0.2611114
2022/9/12 13:17,44,0.09581466,2.686074,0.287989
2022/9/12 13:22,43,0.08885879,2.392261,0.3572105
2022/9/12 13:27,43,0.1537527,1.993979,0.2524368
2022/9/12 13:32,43,0.1169854,2.288119,0.2418758
2022/9/12 13:37,43,0.07850415,3.012406,0.3127734
2022/9/12 13:42,43,0.1335157,2.644503,0.3379075
2022/9/12 13:47,43,0.08058168,3.185111,0.2781289
2022/9/12 13:52,43,0.08544832,2.752028,0.2653838
2022/9/12 13:57,43,0.06722946,2.589382,0.3324229
